Name,Price,URL
"Видеокарта Palit GeForce RTX 4060 Dual OC NE64060T19P1-1070D + Microsoft Game Pass Ultimate (Индия, на 3 месяца)","1402,81",https://catalog.onliner.by/videocard/palit/rtx4060dualocgp
"Видеокарта Palit GeForce RTX 4070 Super Dual OC 12GB NED407SS19K9-1043D + Microsoft Game Pass Ultimate (Индия, на 3 месяца)","2897,96",https://catalog.onliner.by/videocard/palit/407ss19k91043gp
"Видеокарта Gigabyte GeForce RTX 4070 Super Gaming OC 12G GV-N407SGAMING OC-12GD + Microsoft Game Pass Ultimate (Индия, на 3 месяца)","3205,31",https://catalog.onliner.by/videocard/gigabyte/4070supgaoc12gp
"Видеокарта Palit GeForce RTX 4060 Ti Dual OC 8GB GDDR6 NE6406TT19P1-1060D + Microsoft Game Pass Ultimate (Индия, на 3 месяца)","1827,00",https://catalog.onliner.by/videocard/palit/6406tt19p1106dgp
Видеокарта Palit GeForce RTX 4060 Dual OC NE64060T19P1-1070D,"1359,10",https://catalog.onliner.by/videocard/palit/rtx4060dualoc
Видеокарта Palit GeForce RTX 4070 Ti Super GamingPro 16GB NED47TS019T2-1043A,"3706,60",https://catalog.onliner.by/videocard/palit/ned47ts019t21043
Видеокарта Palit GeForce RTX 3060 Dual 12GB GDDR6 NE63060019K9-190AD,"1184,80",https://catalog.onliner.by/videocard/palit/ne63060019k9190a
Видеокарта Gigabyte GeForce RTX 4060 Eagle OC 8G GV-N4060EAGLE OC-8GD,"1364,98",https://catalog.onliner.by/videocard/gigabyte/gvn4060eagleoc8g
Видеокарта Palit GeForce RTX 4060 Dual NE64060019P1-1070D,"1324,26",https://catalog.onliner.by/videocard/palit/rtx4060dual
Видеокарта Palit GeForce RTX 4090 GameRock OmniBlack 24G NED4090019SB-1020Q,"13503,55",https://catalog.onliner.by/videocard/palit/4090019sb1020q
Видеокарта Palit GeForce RTX 4070 Super Dual 12GB NED407S019K9-1043D,"2683,74",https://catalog.onliner.by/videocard/palit/ned407s019k91043
Видеокарта Gigabyte GeForce RTX 3060 Gaming OC 12GB GDDR6 (rev. 2.0),"1338,14",https://catalog.onliner.by/videocard/gigabyte/gvn3060gaoc122
Видеокарта Palit GeForce RTX 4060 Ti Dual OC 8GB GDDR6 NE6406TT19P1-1060D,"1713,49",https://catalog.onliner.by/videocard/palit/ne6406tt19p1106d
Видеокарта ASRock Radeon RX 7900 XT Phantom Gaming 20GB OC RX7900XT PG 20GO,"3220,75",https://catalog.onliner.by/videocard/asrock/rx7900xtpg20go
Видеокарта Palit GeForce RTX 2060 Super Dual 8GB GDDR6 NE6206S018P2-1160A-1,"999,73",https://catalog.onliner.by/videocard/palit/ne6206s018p21161
Видеокарта MSI GeForce RTX 4060 Ti Gaming X 8G,"1790,28",https://catalog.onliner.by/videocard/msi/rtx4060tigaming
Видеокарта NVIDIA Tesla H800 80GB 900-21010-0010-000,"118088,23",https://catalog.onliner.by/videocard/nvidia/900210100010000
Видеокарта Palit GeForce RTX 4070 Ti Super GameRock OmniBlack 16GB NED47TS019T2-1020Q,"3609,32",https://catalog.onliner.by/videocard/palit/ned47ts019t21020
Видеокарта ASRock Radeon RX 7900 XTX Phantom Gaming 24GB OC RX7900XTX PG 24GO,"3429,50",https://catalog.onliner.by/videocard/asrock/rx7900xtxpg24go
Видеокарта Palit GeForce RTX 4060 Ti JetStream 16GB NE6406T019T1-1061J,"1966,26",https://catalog.onliner.by/videocard/palit/ne6406t019t11061
Видеокарта Gigabyte GeForce RTX 4070 Super Gaming OC 12G GV-N407SGAMING OC-12GD,"3175,68",https://catalog.onliner.by/videocard/gigabyte/4070supgaoc12
Видеокарта Palit GeForce RTX 4070 Super JetStream OC 12GB NED407ST19K9-1043J,"2956,00",https://catalog.onliner.by/videocard/palit/ned407st19k91043
Видеокарта Palit GeForce RTX 4080 Super JetStream OC 16GB NED408SS19T2-1032J,"4489,96",https://catalog.onliner.by/videocard/palit/ned408ss19t21032
Видеокарта Gigabyte GeForce RTX 4070 Windforce OC 12G GV-N4070WF3OC-12GD,"2514,70",https://catalog.onliner.by/videocard/gigabyte/gvn4070wf3oc12gd
Видеокарта Sapphire Nitro+ AMD Radeon RX 7700 XT 12GB 11335-02-20G,"2097,28",https://catalog.onliner.by/videocard/sapphire/113350220g
Видеокарта Palit GeForce RTX 4070 Super Dual OC 12GB NED407SS19K9-1043D,"2752,69",https://catalog.onliner.by/videocard/palit/ned407ss19k91043
Видеокарта ASRock Intel Arc B580 Steel Legend 12GB OC B580 SL 12GO,"2490,40",https://catalog.onliner.by/videocard/asrock/b580sl12go
Видеокарта Gigabyte Radeon RX 7800 XT Gaming OC 16G GV-R78XTGAMING OC-16GD,"2502,37",https://catalog.onliner.by/videocard/gigabyte/gvr78xtgamingoc1
Видеокарта Gigabyte GeForce RTX 4060 Eagle OC Ice 8G GV-N4060EAGLEOC ICE-8GD,"1439,93",https://catalog.onliner.by/videocard/gigabyte/gvn4060eagleocic
Видеокарта Palit GeForce RTX 4060 Infinity 2 NE64060019P1-1070L,"1311,30",https://catalog.onliner.by/videocard/palit/ne64060019p11070
